,index,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 64
12,84904,Azerbaijan,AZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3167.0620881770897,3096.4498027630298,2360.614694452,1787.94375321082,1416.44236632832,1234.99654739013,1238.48136232378,1297.7338121903301,1414.02227815474,1505.3905064499802,1658.80529519616,1808.9574006939101,1964.9863284498601,2149.2325046085602,2327.65185795531,2948.2060482881298,3921.02755330664,4863.98288042342,5267.371988685,5642.52679697322,5842.805783585761,5676.45041334095,5724.920831644879,5981.538694830971,6072.58603960072,6063.73011692466,5812.5843743252,5739.59455488806,
13,86335,"Bahamas, The",BHS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,17734.567327177,18673.8347398528,19608.7392961232,20608.9997659686,21688.3316677513,22863.6476942442,23860.627286257597,25081.9423021765,26161.008342765,27535.28274148,25195.999510359303,24941.4055350112,23530.946590469703,24802.55288824,20245.2212608171,16903.504990877802,17410.113924883302,18599.8151193458,20775.8134693927,25633.1856605735,26700.9449444996,23704.4291199575,24734.3299140046,25066.210270733398,28016.0727071592,28786.216221870498,28759.2828141152,29099.695778538302,29268.9012614323,30706.5571244708,29686.8978383227,27923.971626156603,26348.845560345697,25938.535550472403,26291.9793474048,27018.344963437597,27783.257077576098,28022.679228098197,29017.291040549502,30723.9752444579,31570.5281698484,31910.5095551311,32236.4487923714,31272.8381153798,30978.5823209877,31442.2788734593,31632.4534870083,31485.4937392897,30190.751035874102,28440.0722223017,28443.4076553352,28248.8497757498,28799.867683261098,28401.697340027902,28094.535221754,28117.0558990781,27369.556431714398,27484.3791916835,
14,87766,Bahrain,BHR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,21184.9828376582,19295.58521837,17290.8180745626,17906.016350929498,18304.6625974105,16926.4554561154,16571.5031291748,17663.5443960249,18240.723030121102,17702.4859789043,17934.743050284298,19407.6340079877,20178.5037375559,22218.0376236775,21623.2124036681,21910.3176182421,22220.759706765,22281.7576549435,22634.9622350898,22761.1300154709,22955.1971113414,22416.2103892739,22038.3911552775,22058.8483076681,22144.5801261696,22066.1703958395,21795.9241719605,21837.484301022,21562.6640288909,20796.1804106802,20722.1372891348,20516.6503268878,20925.6094489568,21805.9847009115,22396.0791053192,22436.2729506264,22336.7568224844,22126.6653331896,
15,89197,Bangladesh,BGD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,372.031695722991,383.784358473246,393.63345057895106,380.95602871826003,410.571447191891,404.788059380935,402.30292766699205,382.207664244051,405.53360766605203,398.94991672698194,411.184362801919,380.948608902683,322.33440569941,328.071885895516,353.76250352634696,332.88806253724096,343.948157012526,344.43556622869596,359.09060505441704,366.241111288189,359.45625758573897,375.42743211873596,373.55134820495596,378.091928876351,386.061443177345,388.644273789874,394.335068911307,398.588126655912,397.761911676302,398.852110318811,411.16461124174896,415.71474093036204,428.661017617889,439.23000019415,446.654812655474,459.61336775057504,470.27468863727404,481.122454006953,495.62675405954104,508.385222705121,524.945869703516,541.291660881083,551.9030477335469,568.13922556822,588.327258879369,617.542666369303,649.929885115528,687.3230855867861,720.357003907352,748.2960604568029,781.153593557047,822.188338841729,865.7498910537109,907.2574180443879,951.314821042494,1002.3888534583199,1062.0401578630099,1127.27176833347,
16,90628,Barbados,BRB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,10821.8542706692,10551.1150888708,10947.6117027485,11284.6320275191,11775.0929871018,12646.476531021699,13144.969102151299,12845.4247344096,12174.2881518497,12202.230649282299,12600.52644219,12698.4150377149,13301.7103564779,13594.475571621299,14012.054172821101,14461.922158220701,13932.214675054,13337.504619398,12359.6215531011,12463.793936574499,12885.754737527199,13093.971341293702,13557.5455622216,14139.937561205601,14606.2580471977,14593.4413584603,15183.5612877844,14769.012970001299,14837.0194098359,15107.707096317099,15267.1099633174,15814.321016546799,16641.2717014065,16860.556940368202,16806.1938993553,16072.013864726201,16056.0165313276,16112.6651302297,16117.3579790104,16085.0240491554,16058.0534501732,16174.906132293401,16472.3142604622,16611.6371684847,
17,92059,Belarus,BLR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3180.5420936002697,3140.8344424824604,2833.1998721874497,2611.99605909695,2309.09865764927,2075.6499951585,2140.90885473225,2395.10936164256,2608.6751744318103,2708.7393350487,2879.38006548047,3030.94752615782,3204.19898457435,3453.9636651659002,3875.7830645828003,4269.16602174832,4724.92454603076,5154.86716411286,5700.31938066551,5724.46885160699,6181.399915687529,6525.851369123349,6642.03513243543,6707.62152957548,6817.289218506469,6545.7805269077,6372.401794559921,6536.012102316829,
18,93490,Belgium,BEL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13193.3149413605,13804.199347658101,14465.9774292722,14983.0426057267,15874.404690155901,16291.019656531298,16692.0169886591,17241.4473706698,17894.0438026985,19026.4296503728,20070.5515670758,20832.5278062341,21850.0067859891,23171.3835032461,24153.1034849385,23609.941333616098,24900.0215733175,25025.0143676058,25712.1987356442,26290.4988861872,27428.6168027338,27352.734498857797,27522.9585604181,27610.9803633546,28292.397665392902,28751.164242132796,29264.7951487469,29914.3208400443,31227.797353222002,32193.9850762119,33105.1611695658,33586.964333924305,33962.9924638208,33505.1715046253,34479.943731807594,35228.3482140871,35719.813364012596,36955.630407709104,37605.2219024284,38856.0665031392,40170.4157488907,40357.3715941641,40892.2142513664,41036.7293632776,42344.694197948396,42994.3600388148,43782.135925748,44960.79527037861,44956.3581216028,43591.2643262036,44380.1766327308,44594.3044592717,44422.653248885304,44302.4842741431,44659.639415343605,45174.0108192611,45598.735095344804,46211.232893752196,
19,94921,Belize,BLZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1072.00957901029,1093.1211155313301,1115.03751136261,1137.82244057308,1161.03923022172,1183.26963491005,1203.1241469338001,1224.76860340648,1276.8284577475,1306.01893163719,1336.08427355006,1359.92448351435,1471.10061394375,1524.13247876638,1704.27054258819,1739.6275698599698,1714.75431690038,1801.59985650233,1916.6542970041298,2026.60408796262,2253.46204365246,2226.3316123947698,2166.18474407513,2060.9642107041,2042.30029356055,2005.7631992289603,2039.3509063696201,2196.72020002258,2348.30624490174,2589.56538356776,2823.07349482141,3087.83677347263,3403.30347642797,3556.5242136221505,3490.48235054902,3423.2962604466197,3363.2922331196196,3358.09636045671,3352.6200721226696,3513.5135108312,3837.2575032218797,3907.30842445348,3992.84652414613,4251.11988954313,4334.82052638409,4332.25900299049,4413.6548621321,4347.60159658557,4373.91601435959,4293.65594082763,4331.43451672125,4320.94984820979,4345.73451341045,4284.9514129439,4346.9652822531,4401.88867903368,4287.3084797847,4263.645016908979,
20,96352,Benin,BEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,520.4041799849849,529.297338642614,503.599084051538,519.130656001452,544.427762856429,563.14643870332,572.453222994978,567.383628665014,577.3054948942221,581.6103742138299,581.235118982927,560.180110614056,583.056243099537,591.050532244085,596.657708163309,553.93664820434,545.143576619519,557.93222697945,550.42650351024,571.072511282984,593.619562439568,635.117493477248,631.527135880661,587.287625984981,616.037500535204,643.587476348851,638.749042846944,611.028136374675,613.2311802793209,577.539883272228,609.345623847634,614.005294113839,610.5509018385201,623.953655204789,615.120445612328,631.171223502581,638.0763307380461,654.542811574812,660.631781368267,675.677481564767,694.243748862815,709.469362156737,720.168276979008,722.667195343064,732.3354225211391,723.1999593771901,730.275166698073,752.215036722347,767.0313777872591,763.1545474009621,757.695907409377,758.575276385114,773.175729269639,805.9561234985159,833.630342519349,827.835457935714,837.216825726833,862.056056916603,
21,97783,Bermuda,BMU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,27838.393037577403,28436.716583056,29006.5798401619,28640.878016591698,31041.9500043757,31740.6355233978,35659.1612543762,39616.141986084906,39686.955348126205,40290.5688347111,42055.0304719923,43819.358387283,44942.9191535041,45948.8338277272,46699.0989703916,48824.501768485,52988.7455136405,55903.5590573088,56504.0914894508,57503.2189423032,61083.450949636106,62106.1317965972,58400.2839788516,59061.1697050723,58826.9549652087,57167.1018852694,60463.908785669904,62224.891777939294,64196.2324263801,63939.8115704253,63429.2767665396,61503.6383589572,61913.7772348381,63435.4731513697,63374.766845423,65690.9641699689,66969.933143424,69624.4363363497,71810.38407227599,73825.18484536231,79988.3500115683,84844.7383808264,83048.803111906,85321.2432651983,86733.3700723903,87616.3859691804,91944.87381366619,94029.6080297516,94903.19153445,89391.21117599019,88207.3275597322,86001.1711723395,81547.8552352009,79251.7816637313,,,,,
